               Simulated_Sample	               Simulated_Sample	Simulated_Sample_with_True_Fits	Simulated_Sample_with_True_Fits
                        98.9829	                       135.6018	                        98.9829	                       135.6018
                        97.0050	                       122.1387	                        97.0050	                       122.1387
                        96.7720	                        85.7697	                        96.7720	                        85.7697
                        84.2001	                       102.9313	                        84.2001	                       102.9313
                        89.9603	                       131.0610	                        89.9603	                       131.0610
                        85.5711	                       109.4199	                        85.5711	                       109.4199
                        82.8751	                       102.4853	                        82.8751	                       102.4853
                        73.1012	                        76.5328	                        73.1012	                        76.5328
                        73.6873	                       111.5437	                        73.6873	                       111.5437
                        98.2608	                        96.3195	                        98.2608	                        96.3195
                        79.3616	                       140.8840	                        79.3616	                       140.8840
                        72.5897	                       101.1154	                        72.5897	                       101.1154
                        76.9817	                       116.4853	                        76.9817	                       116.4853
                        85.6252	                        85.6566	                        85.6252	                        85.6566
                        91.7829	                       119.0165	                        91.7829	                       119.0165
                        89.3822	                       171.3229	                        89.3822	                       171.3229
                        77.5337	                       113.0577	                        77.5337	                       113.0577
                        85.2329	                       102.2144	                        85.2329	                       102.2144
                        89.1112	                       154.0231	                        89.1112	                       154.0231
                        73.1081	                       134.8391	                        73.1081	                       134.8391
                        99.2389	                       146.8696	                        99.2389	                       146.8696
                        83.9391	                       130.6381	                        83.9391	                       130.6381
                        82.5950	                       129.7949	                        82.5950	                       129.7949
                        85.5442	                        96.7531	                        85.5442	                        96.7531
                       104.4205	                        86.9748	                       104.4205	                        86.9748
                        85.4946	                       104.3684	                        85.4946	                       104.3684
                        77.8639	                        81.0811	                        77.8639	                        81.0811
                       100.3924	                       128.4864	                       100.3924	                       128.4864
                        87.2754	                       203.6164	                        87.2754	                       203.6164
                        87.9409	                       194.8678	                        87.9409	                       194.8678
                       100.2985	                       190.1475	                       100.2985	                       190.1475
                        66.0407	                       269.3848	                        66.0407	                       269.3848
                        71.4334	                       187.7319	                        71.4334	                       187.7319
                        64.1069	                       235.0276	                        64.1069	                       235.0276
                        86.0005	                       214.5294	                        86.0005	                       214.5294
                        94.6652	                       183.7943	                        94.6652	                       183.7943
                        89.6013	                       244.9226	                        89.6013	                       244.9226
                        81.9365	                       207.7224	                        81.9365	                       207.7224
                        88.0947	                       225.4696	                        88.0947	                       225.4696
                        81.1136	                       224.3457	                        81.1136	                       224.3457
                        77.5599	                       221.6569	                        77.5599	                       221.6569
                        90.8468	                       215.7597	                        90.8468	                       215.7597
                        84.1708	                       240.3499	                        84.1708	                       240.3499
                        95.1714	                       214.2487	                        95.1714	                       214.2487
                        67.3258	                       228.7041	                        67.3258	                       228.7041
                        93.0162	                       247.6721	                        93.0162	                       247.6721
                        90.6129	                       234.5645	                        90.6129	                       234.5645
                        87.3986	                       160.6388	                        87.3986	                       160.6388
                        90.9374	                       251.3579	                        90.9374	                       251.3579
                        89.8616	                       227.5524	                        89.8616	                       227.5524
                        92.9151	                       189.6204	                        92.9151	                       189.6204
                        75.1247	                       217.1176	                        75.1247	                       217.1176
                        85.5766	                       280.5497	                        85.5766	                       280.5497
                        67.4967	                       251.8653	                        67.4967	                       251.8653
                        84.2445	                       219.9134	                        84.2445	                       219.9134
                        75.8423	                       202.3888	                        75.8423	                       202.3888
                        84.7285	                       224.9390	                        84.7285	                       224.9390
                        78.5826	                       218.8570	                        78.5826	                       218.8570
                        95.0318	                       243.4536	                        95.0318	                       243.4536
                        96.2655	                       237.1983	                        96.2655	                       237.1983
                        99.1253	                        79.1152	                        99.1253	                        79.1152
                        77.5927	                       226.5004	                        77.5927	                       226.5004
                        89.0724	                       172.6554	                        89.0724	                       172.6554
                        80.2982	                       254.3413	                        80.2982	                       254.3413
                        88.6768	                       180.8652	                        88.6768	                       180.8652
                        78.3370	                       229.4460	                        78.3370	                       229.4460
                        93.3318	                       257.5223	                        93.3318	                       257.5223
                        65.1323	                       210.4962	                        65.1323	                       210.4962
                        69.6897	                       188.5487	                        69.6897	                       188.5487
                        76.7000	                       218.9845	                        76.7000	                       218.9845
                        87.7493	                       237.5504	                        87.7493	                       237.5504
                        93.6441	                       252.7576	                        93.6441	                       252.7576
                        92.9616	                       203.5181	                        92.9616	                       203.5181
                        80.6953	                       226.2850	                        80.6953	                       226.2850
                        81.4222	                       205.7717	                        81.4222	                       205.7717
                        85.5877	                       204.2432	                        85.5877	                       204.2432
                        94.6126	                       199.1690	                        94.6126	                       199.1690
                        83.4126	                       204.1263	                        83.4126	                       204.1263
                        89.9436	                       222.1136	                        89.9436	                       222.1136
                        87.3130	                       240.0609	                        87.3130	                       240.0609
                        66.8078	                       192.7979	                        66.8078	                       192.7979
                        93.8388	                       229.9368	                        93.8388	                       229.9368
                        71.5763	                       228.8749	                        71.5763	                       228.8749
                        79.1740	                       162.2651	                        79.1740	                       162.2651
                        81.0221	                       122.8595	                        81.0221	                       122.8595
                        71.8619	                        82.4641	                        71.8619	                        82.4641
                        72.1478	                        67.9375	                        72.1478	                        67.9375
                        69.9360	                       118.9166	                        69.9360	                       118.9166
                        95.4526	                       120.0557	                        95.4526	                       120.0557
                        71.2655	                       135.7201	                        71.2655	                       135.7201
                        77.5442	                       113.6381	                        77.5442	                       113.6381
                        85.0542	                       166.8111	                        85.0542	                       166.8111
                        81.7971	                       180.3669	                        81.7971	                       180.3669
                        95.1468	                       185.7076	                        95.1468	                       185.7076
                        88.8992	                       180.2311	                        88.8992	                       180.2311
                        78.1915	                       293.7737	                        78.1915	                       293.7737
                        65.6856	                       185.5977	                        65.6856	                       185.5977
                        89.1698	                       240.4952	                        89.1698	                       240.4952
                        82.9744	                       248.5311	                        82.9744	                       248.5311
                        81.1388	                       211.2264	                        81.1388	                       211.2264
                        65.3577	                       116.0573	                        65.3577	                       116.0573
                        98.8936	                       116.7924	                        98.8936	                       116.7924
                        75.1741	                       123.6577	                        75.1741	                       123.6577
                        87.4271	                       100.3849	                        87.4271	                       100.3849
                        70.9520	                        78.5947	                        70.9520	                        78.5947
                        97.2147	                       129.0425	                        97.2147	                       129.0425
                        72.1017	                       119.4026	                        72.1017	                       119.4026
                        68.1881	                       154.8601	                        68.1881	                       154.8601
                        89.2168	                       113.3171	                        89.2168	                       113.3171
                        92.3891	                       128.4269	                        92.3891	                       128.4269
                        98.7964	                       167.6710	                        98.7964	                       167.6710
                        63.4463	                       138.0347	                        63.4463	                       138.0347
                        72.9084	                       104.4686	                        72.9084	                       104.4686
                        81.7725	                       115.9724	                        81.7725	                       115.9724
                       102.7540	                       147.9969	                       102.7540	                       147.9969
                       104.1052	                       126.7420	                       104.1052	                       126.7420
                        80.1150	                       107.5444	                        80.1150	                       107.5444
                        77.3734	                       159.7020	                        77.3734	                       159.7020
                        68.6740	                       160.6348	                        68.6740	                       160.6348
                        57.6910	                       104.7701	                        57.6910	                       104.7701
                        94.0008	                       117.2599	                        94.0008	                       117.2599
                        93.9177	                        97.2635	                        93.9177	                        97.2635
                        80.3009	                       104.2558	                        80.3009	                       104.2558
                        82.0505	                       189.8904	                        82.0505	                       189.8904
                        93.5884	                       275.7671	                        93.5884	                       275.7671
                        95.8330	                       248.1114	                        95.8330	                       248.1114
                        90.7533	                       214.5537	                        90.7533	                       214.5537
                        85.4906	                       220.3720	                        85.4906	                       220.3720
                        86.8604	                       223.3614	                        86.8604	                       223.3614
                        57.9924	                       112.4523	                        57.9924	                       112.4523
                        94.8712	                       114.3968	                        94.8712	                       114.3968
                        75.0639	                        78.7458	                        75.0639	                        78.7458
                        77.6174	                       131.4914	                        77.6174	                       131.4914
                       103.1260	                        71.7999	                       103.1260	                        71.7999
                        90.8793	                       120.7767	                        90.8793	                       120.7767
                        63.5014	                       111.1217	                        63.5014	                       111.1217
                        63.3158	                        89.5818	                        63.3158	                        89.5818
                        70.6759	                       139.7376	                        70.6759	                       139.7376
                        92.9120	                       142.6029	                        92.9120	                       142.6029
                       113.8717	                       155.0806	                       113.8717	                       155.0806
                        71.4792	                       102.0780	                        71.4792	                       102.0780
                        86.9229	                       122.3765	                        86.9229	                       122.3765
                        87.7792	                       103.2457	                        87.7792	                       103.2457
                        81.1933	                        97.0194	                        81.1933	                        97.0194
                        74.4248	                       117.4663	                        74.4248	                       117.4663
                        75.2674	                       219.7440	                        75.2674	                       219.7440
                        89.4574	                       230.7783	                        89.4574	                       230.7783
                        85.7571	                       280.9048	                        85.7571	                       280.9048
                        79.4407	                       218.9465	                        79.4407	                       218.9465
                       100.4801	                       232.9723	                       100.4801	                       232.9723
                       101.7624	                       107.3870	                       101.7624	                       107.3870
                        83.7426	                       110.0501	                        83.7426	                       110.0501
                        99.6600	                       139.7580	                        99.6600	                       139.7580
                        96.9704	                        99.3491	                        96.9704	                        99.3491
                        68.2556	                       141.7272	                        68.2556	                       141.7272
                        91.8755	                       125.9611	                        91.8755	                       125.9611
                        84.2641	                       107.4694	                        84.2641	                       107.4694
                        78.7017	                       108.8903	                        78.7017	                       108.8903
                        83.2058	                       146.5198	                        83.2058	                       146.5198
                        83.5226	                       124.1769	                        83.5226	                       124.1769
                        84.4856	                       136.6963	                        84.4856	                       136.6963
                        72.5425	                        84.4610	                        72.5425	                        84.4610
                        93.9777	                        97.6711	                        93.9777	                        97.6711
                        75.5820	                        83.9754	                        75.5820	                        83.9754
                        70.1464	                        90.7314	                        70.1464	                        90.7314
                        73.1978	                        99.0212	                        73.1978	                        99.0212
                        96.1877	                        63.4866	                        96.1877	                        63.4866
                        87.3701	                       129.8881	                        87.3701	                       129.8881
                        95.5026	                        90.2737	                        95.5026	                        90.2737
                        87.4423	                        92.6015	                        87.4423	                        92.6015
                        99.4611	                        92.2541	                        99.4611	                        92.2541
                        80.6414	                        68.8159	                        80.6414	                        68.8159
                        62.7367	                       109.0231	                        62.7367	                       109.0231
                        93.9320	                        97.2046	                        93.9320	                        97.2046
                       105.4118	                       132.5449	                       105.4118	                       132.5449
                        99.8659	                       102.5787	                        99.8659	                       102.5787
                        67.9496	                        86.0198	                        67.9496	                        86.0198
                        86.3907	                       132.9171	                        86.3907	                       132.9171
                        97.2411	                       100.2703	                        97.2411	                       100.2703
                        85.3522	                       236.3339	                        85.3522	                       236.3339
                        65.2267	                       195.1962	                        65.2267	                       195.1962
                        93.6520	                       230.6912	                        93.6520	                       230.6912
                        77.7814	                       372.2917	                        77.7814	                       372.2917
                        93.0441	                       343.2949	                        93.0441	                       343.2949
                        84.0088	                       320.1396	                        84.0088	                       320.1396
                        74.0015	                       309.8514	                        74.0015	                       309.8514
                        94.7943	                       349.3867	                        94.7943	                       349.3867
                        51.5871	                       372.2314	                        51.5871	                       372.2314
                        81.1901	                       373.2564	                        81.1901	                       373.2564
                        72.6726	                       241.6618	                        72.6726	                       241.6618
                        84.4446	                       199.1067	                        84.4446	                       199.1067
                        84.6644	                       232.2655	                        84.6644	                       232.2655
                        71.0517	                       205.3458	                        71.0517	                       205.3458
                       149.0283	                       219.8866	                       149.0283	                       219.8866
                       162.1201	                       256.9551	                       162.1201	                       256.9551
                       164.7822	                       239.1109	                       164.7822	                       239.1109
                        75.3135	                       239.4790	                        75.3135	                       239.4790
                        72.4152	                       210.7310	                        72.4152	                       210.7310
                        68.9435	                       214.7196	                        68.9435	                       214.7196
                        90.2588	                       190.8855	                        90.2588	                       190.8855
                        96.0002	                       218.8660	                        96.0002	                       218.8660
                        74.6127	                       186.9167	                        74.6127	                       186.9167
                        74.6045	                       282.2276	                        74.6045	                       282.2276
                        72.9711	                       245.8805	                        72.9711	                       245.8805
                        79.4609	                       188.3132	                        79.4609	                       188.3132
                        88.7289	                       223.6874	                        88.7289	                       223.6874
                        78.8411	                       188.7668	                        78.8411	                       188.7668
                        66.2160	                       278.5129	                        66.2160	                       278.5129
                        64.1990	                       196.0825	                        64.1990	                       196.0825
                        84.6595	                       169.7173	                        84.6595	                       169.7173
                        84.4076	                       248.9660	                        84.4076	                       248.9660
                        88.3729	                       198.5748	                        88.3729	                       198.5748
                       165.4984	                       186.1796	                       165.4984	                       186.1796
                       165.6760	                       219.0873	                       165.6760	                       219.0873
                       162.7674	                       232.5463	                       162.7674	                       232.5463
                       163.1468	                       240.1772	                       163.1468	                       240.1772
                       178.3239	                       195.1059	                       178.3239	                       195.1059
                       156.6146	                       321.4557	                       156.6146	                       321.4557
                       179.9602	                       302.3866	                       179.9602	                       302.3866
                       180.4909	                       309.5886	                       180.4909	                       309.5886
                       161.1079	                       314.9049	                       161.1079	                       314.9049
                       159.9858	                       351.8781	                       159.9858	                       351.8781
                       178.5973	                       350.1653	                       178.5973	                       350.1653
                       162.4774	                       353.1949	                       162.4774	                       353.1949
                       172.8088	                       357.1161	                       172.8088	                       357.1161
                        92.8049	                       329.5252	                        92.8049	                       329.5252
                        85.3872	                       214.8809	                        85.3872	                       214.8809
                        92.2807	                       187.9587	                        92.2807	                       187.9587
                        71.7155	                       291.2195	                        71.7155	                       291.2195
                        81.9474	                       250.0225	                        81.9474	                       250.0225
                        72.5765	                       203.2023	                        72.5765	                       203.2023
                        84.3719	                       215.1426	                        84.3719	                       215.1426
                        76.3575	                       232.0405	                        76.3575	                       232.0405
                        77.7720	                       207.7404	                        77.7720	                       207.7404
                        92.6072	                        94.5797	                        92.6072	                        94.5797
                        93.1394	                        84.9619	                        93.1394	                        84.9619
                        65.9803	                       123.2568	                        65.9803	                       123.2568
                        69.2720	                        98.4618	                        69.2720	                        98.4618
                        73.6855	                       126.2432	                        73.6855	                       126.2432
                        90.0540	                       104.5634	                        90.0540	                       104.5634
                        88.5317	                       100.9302	                        88.5317	                       100.9302
                        91.7551	                        70.9587	                        91.7551	                        70.9587
                        76.1833	                       150.6337	                        76.1833	                       150.6337
                        91.0588	                        94.7751	                        91.0588	                        94.7751
                       164.6390	                       114.4479	                       164.6390	                       114.4479
                       153.1654	                       121.2355	                       153.1654	                       121.2355
                       169.4209	                       168.6175	                       169.4209	                       168.6175
                       177.1790	                        99.5062	                       177.1790	                        99.5062
                       161.1553	                        54.5057	                       161.1553	                        54.5057
                       153.4515	                       160.6180	                       153.4515	                       160.6180
                       155.7852	                       130.5676	                       155.7852	                       130.5676
                        90.3227	                        91.1029	                        90.3227	                        91.1029
                        85.0574	                       128.5814	                        85.0574	                       128.5814
                        76.4230	                       107.9940	                        76.4230	                       107.9940
                        83.6869	                        79.2451	                        83.6869	                        79.2451
                        77.3949	                        98.0198	                        77.3949	                        98.0198
                        88.0141	                        86.8522	                        88.0141	                        86.8522
                       158.9713	                        96.7783	                       158.9713	                        96.7783
                       160.9429	                        96.0897	                       160.9429	                        96.0897
                       161.6227	                       101.3239	                       161.6227	                       101.3239
                       148.3326	                        94.5218	                       148.3326	                        94.5218
                       168.3674	                       112.9335	                       168.3674	                       112.9335
                       168.0715	                       121.8627	                       168.0715	                       121.8627
                       169.8519	                       106.4145	                       169.8519	                       106.4145
                       150.0695	                       120.2778	                       150.0695	                       120.2778
                       159.7541	                       128.3584	                       159.7541	                       128.3584
                       174.8693	                       108.1615	                       174.8693	                       108.1615
                       169.7284	                       114.2543	                       169.7284	                       114.2543
                       159.8315	                       138.5546	                       159.8315	                       138.5546
                       165.2592	                        83.5555	                       165.2592	                        83.5555
                       166.0648	                        92.1311	                       166.0648	                        92.1311
                       162.0180	                       151.8557	                       162.0180	                       151.8557
                       163.5002	                       127.1841	                       163.5002	                       127.1841
                       175.7126	                        71.4066	                       175.7126	                        71.4066
                       158.9588	                       105.7270	                       158.9588	                       105.7270
                       166.8063	                       141.1668	                       166.8063	                       141.1668
                       171.1775	                       112.3527	                       171.1775	                       112.3527
                       153.8054	                       212.8971	                       153.8054	                       212.8971
                        69.4427	                       281.8909	                        69.4427	                       281.8909
                       166.3489	                       347.8314	                       166.3489	                       347.8314
                       184.1090	                       248.2726	                       184.1090	                       248.2726
                       180.2401	                       230.0577	                       180.2401	                       230.0577
                       197.4710	                       283.4668	                       197.4710	                       283.4668
                       177.9070	                       197.3528	                       177.9070	                       197.3528
                       165.4294	                       224.0085	                       165.4294	                       224.0085
                       180.0594	                       214.7661	                       180.0594	                       214.7661
                       184.8741	                       176.7117	                       184.8741	                       176.7117
                       180.5439	                       210.3289	                       180.5439	                       210.3289
                       178.1837	                       235.7664	                       178.1837	                       235.7664
                       182.2078	                       154.5810	                       182.2078	                       154.5810
                       171.4486	                       195.1367	                       171.4486	                       195.1367
                       177.3300	                       231.5191	                       177.3300	                       231.5191
                       189.7437	                       258.2043	                       189.7437	                       258.2043
                       176.5134	                       215.0876	                       176.5134	                       215.0876
                       186.1499	                       223.3398	                       186.1499	                       223.3398
                       179.6775	                       239.2262	                       179.6775	                       239.2262
                       184.5925	                       253.4226	                       184.5925	                       253.4226
                       190.5416	                       206.8078	                       190.5416	                       206.8078
                       194.4652	                       202.3160	                       194.4652	                       202.3160
                       166.7785	                       208.2981	                       166.7785	                       208.2981
                       169.6418	                       210.5064	                       169.6418	                       210.5064
                       177.1078	                       188.9237	                       177.1078	                       188.9237
                       175.0653	                       198.2016	                       175.0653	                       198.2016
                       193.9218	                       236.1135	                       193.9218	                       236.1135
                       168.8937	                       201.0716	                       168.8937	                       201.0716
                       158.5698	                       231.2132	                       158.5698	                       231.2132
                       188.9381	                       225.4672	                       188.9381	                       225.4672
                       191.6342	                       262.4632	                       191.6342	                       262.4632
                       175.4460	                       228.4897	                       175.4460	                       228.4897
                       178.9835	                       223.4514	                       178.9835	                       223.4514
                       164.7949	                       104.5933	                       164.7949	                       104.5933
                       178.9680	                       101.0794	                       178.9680	                       101.0794
                       161.2069	                       133.6365	                       161.2069	                       133.6365
                       171.2252	                       151.5332	                       171.2252	                       151.5332
                       179.0411	                        75.7857	                       179.0411	                        75.7857
                       177.3375	                       179.3882	                       177.3375	                       179.3882
                       183.7994	                        96.4875	                       183.7994	                        96.4875
                       168.1910	                       186.4374	                       168.1910	                       186.4374
                       181.7431	                        44.7587	                       181.7431	                        44.7587
                       188.3856	                        54.5946	                       188.3856	                        54.5946
                       186.4871	                       129.8111	                       186.4871	                       129.8111
                       178.9889	                       127.7881	                       178.9889	                       127.7881
                       170.0457	                        89.4324	                       170.0457	                        89.4324
                       194.9738	                       128.1453	                       194.9738	                       128.1453
                       198.6985	                       101.5721	                       198.6985	                       101.5721
                       171.6733	                       125.5234	                       171.6733	                       125.5234
                       163.8389	                        96.8228	                       163.8389	                        96.8228
                       177.5290	                       116.2643	                       177.5290	                       116.2643
                       182.1954	                       119.8265	                       182.1954	                       119.8265
                       180.7048	                       133.1475	                       180.7048	                       133.1475
                       192.7387	                        89.8462	                       192.7387	                        89.8462
                       158.2750	                       157.0472	                       158.2750	                       157.0472
                       182.1873	                        96.1973	                       182.1873	                        96.1973
                       168.3753	                       102.6184	                       168.3753	                       102.6184
                       163.0146	                       137.2207	                       163.0146	                       137.2207
                       183.2826	                        96.7704	                       183.2826	                        96.7704
                       186.2483	                       105.3500	                       186.2483	                       105.3500
                       172.5493	                        81.8730	                       172.5493	                        81.8730
                       177.3928	                        77.1956	                       177.3928	                        77.1956
                       178.8145	                        85.3635	                       178.8145	                        85.3635
                       193.0568	                        74.0854	                       193.0568	                        74.0854
                       173.3048	                        99.7238	                       173.3048	                        99.7238
                       180.6217	                        70.7453	                       180.6217	                        70.7453
                       186.4518	                       112.7248	                       186.4518	                       112.7248
                       172.6667	                       215.6734	                       172.6667	                       215.6734
                       193.3230	                       199.6234	                       193.3230	                       199.6234
                       171.7851	                       157.7255	                       171.7851	                       157.7255
                       169.5121	                       232.1534	                       169.5121	                       232.1534
                       165.9995	                       235.8226	                       165.9995	                       235.8226
                       180.7308	                       227.8846	                       180.7308	                       227.8846
                       150.9454	                       199.1600	                       150.9454	                       199.1600
